Designator,Mid X,Mid Y,Rotation,Layer
C1,108.0,-85.0,270.0,top
C2,156.25,-68.0,0.0,top
C3,157.1,-54.45,270.0,bottom
D1,132.9,-111.4,180.0,top
J1,138.03,-118.7,0.0,top
J2,128.03,-118.7,0.0,top
J3,125.73,-52.925,270.0,bottom
J4,112.3,-111.27,270.0,top
J5,112.3,-98.39,270.0,top
Q1,145.045,-98.9,90.0,top
R1,142.3,-106.0,0.0,top
R2,120.4,-84.5,90.0,top
R3,123.5,-84.5,90.0,top
R4,117.3,-84.51,90.0,top
R5,127.4,-92.8,90.0,top
R6,133.0,-95.0,270.0,bottom
R7,136.5,-95.0,270.0,bottom
U1,160.3,-93.4,90.0,bottom
U2,160.3,-93.4,90.0,top
U3,125.7,-63.735,180.0,top
U4,152.0,-54.81,0.0,top
